"Diabetes, urogenital, blood, and endocrine diseases",,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"O'Brien County, Iowa",19141,"29.12 (26.84, 31.56)","31.80 (29.57, 34.15)","34.92 (32.65, 37.17)","40.33 (37.90, 42.80)","47.45 (44.72, 50.26)","51.29 (48.20, 54.63)","48.64 (45.56, 51.96)","52.25 (48.51, 55.83)","79.44 (61.43, 99.41)"
"Osceola County, Iowa",19143,"30.05 (27.41, 32.87)","31.38 (28.80, 34.05)","33.06 (30.58, 35.70)","36.93 (34.11, 39.76)","41.52 (38.33, 44.75)","44.87 (41.14, 48.67)","43.94 (40.03, 47.97)","44.61 (39.97, 49.11)","48.44 (28.77, 68.97)"
"Page County, Iowa",19145,"38.02 (35.43, 40.92)","40.80 (38.29, 43.45)","44.57 (41.97, 47.07)","51.23 (48.55, 54.16)","57.82 (54.66, 61.03)","62.85 (59.31, 66.43)","61.15 (57.36, 64.91)","66.30 (61.41, 70.97)","74.38 (57.05, 93.36)"
"Palo Alto County, Iowa",19147,"28.01 (25.71, 30.38)","30.43 (28.22, 32.82)","33.25 (31.08, 35.61)","38.30 (35.77, 40.89)","43.95 (41.03, 46.91)","47.24 (43.95, 50.85)","45.52 (42.11, 49.34)","47.14 (43.22, 51.21)","68.30 (49.48, 89.36)"
"Plymouth County, Iowa",19149,"28.08 (25.90, 30.34)","31.80 (29.64, 34.19)","35.80 (33.59, 38.23)","42.83 (40.53, 45.34)","51.61 (48.60, 54.38)","58.78 (55.47, 62.39)","59.49 (55.86, 63.11)","65.92 (61.54, 70.53)","134.76 (109.90, 162.74)"
"Pocahontas County, Iowa",19151,"28.12 (25.84, 30.46)","29.80 (27.58, 32.12)","32.06 (29.91, 34.17)","35.68 (33.21, 38.14)","40.23 (37.43, 43.10)","43.27 (40.15, 46.47)","42.97 (39.63, 46.51)","45.39 (41.38, 49.36)","61.46 (43.64, 82.45)"
"Polk County, Iowa",19153,"33.47 (31.85, 35.40)","34.66 (32.97, 36.25)","36.72 (35.17, 38.33)","40.33 (38.66, 41.96)","44.34 (42.56, 46.25)","46.78 (44.92, 48.90)","45.78 (43.92, 47.93)","51.96 (49.69, 54.15)","55.23 (45.26, 65.51)"
"Pottawattamie County, Iowa",19155,"37.64 (35.28, 39.93)","39.44 (37.19, 41.60)","43.20 (41.19, 45.47)","47.82 (45.66, 50.15)","53.49 (50.85, 56.15)","55.63 (53.04, 58.31)","55.42 (52.78, 58.08)","60.61 (57.37, 63.72)","61.02 (47.56, 75.93)"
"Poweshiek County, Iowa",19157,"31.00 (28.63, 33.46)","33.13 (30.74, 35.45)","35.13 (32.74, 37.34)","39.70 (37.35, 42.06)","45.39 (42.65, 48.19)","48.41 (45.38, 51.71)","47.50 (44.37, 50.70)","50.03 (46.28, 54.00)","61.37 (44.99, 78.54)"
"Ringgold County, Iowa",19159,"37.83 (34.67, 41.23)","40.59 (37.47, 43.60)","43.35 (40.03, 46.42)","50.06 (46.71, 53.30)","57.54 (53.46, 61.84)","61.14 (56.70, 65.78)","60.92 (56.07, 66.09)","64.23 (58.45, 70.29)","69.76 (49.09, 91.35)"
"Sac County, Iowa",19161,"27.99 (25.65, 30.43)","30.31 (28.05, 32.55)","33.88 (31.57, 36.34)","37.70 (35.27, 40.16)","43.59 (40.89, 46.54)","47.00 (43.99, 50.26)","46.01 (42.54, 49.44)","48.00 (44.27, 52.19)","71.50 (52.94, 93.38)"
"Scott County, Iowa",19163,"39.34 (37.10, 41.82)","39.58 (37.48, 41.75)","38.13 (36.17, 40.13)","40.20 (38.21, 42.18)","43.27 (41.17, 45.27)","44.00 (41.86, 46.09)","40.72 (38.58, 42.79)","41.96 (39.77, 44.23)","6.66 (-1.60, 15.74)"
"Shelby County, Iowa",19165,"30.68 (28.10, 33.29)","31.65 (29.29, 34.03)","32.83 (30.58, 34.98)","36.52 (34.28, 38.68)","40.08 (37.63, 42.59)","42.01 (39.09, 44.92)","40.25 (37.06, 43.20)","41.28 (38.05, 44.73)","34.56 (19.32, 50.94)"
"Sioux County, Iowa",19167,"35.47 (33.16, 38.06)","36.64 (34.20, 39.16)","37.20 (35.10, 39.38)","40.75 (38.63, 43.14)","44.36 (41.92, 46.91)","46.30 (43.67, 48.94)","44.69 (42.02, 47.47)","46.54 (43.46, 49.72)","31.21 (18.21, 44.24)"
"Story County, Iowa",19169,"27.67 (25.79, 29.65)","28.23 (26.50, 30.09)","28.46 (26.76, 30.10)","31.27 (29.54, 32.99)","34.07 (32.03, 36.06)","35.75 (33.77, 37.94)","32.93 (30.95, 35.07)","32.91 (30.74, 35.16)","18.94 (8.35, 30.77)"
"Tama County, Iowa",19171,"33.11 (30.60, 35.61)","35.47 (33.06, 37.95)","38.56 (36.14, 41.01)","43.18 (40.78, 45.79)","48.95 (46.22, 52.03)","52.81 (49.65, 56.08)","52.24 (48.88, 55.76)","54.16 (50.37, 58.25)","63.59 (47.25, 81.45)"
"Taylor County, Iowa",19173,"34.81 (32.02, 37.93)","36.48 (33.86, 39.26)","38.95 (36.30, 41.89)","43.49 (40.68, 46.42)","49.14 (45.65, 52.62)","50.65 (46.85, 54.42)","50.10 (45.99, 54.05)","51.93 (47.21, 56.64)","49.18 (32.87, 68.45)"
"Union County, Iowa",19175,"34.93 (32.20, 37.78)","36.75 (34.26, 39.59)","39.16 (36.81, 42.12)","43.82 (41.14, 46.82)","48.20 (45.20, 51.44)","50.59 (47.20, 53.95)","49.25 (45.68, 52.81)","50.17 (46.05, 53.96)","43.61 (28.03, 60.13)"
"Van Buren County, Iowa",19177,"41.97 (38.59, 45.75)","43.76 (40.81, 47.36)","45.73 (42.82, 48.95)","51.59 (48.20, 55.05)","56.33 (52.61, 60.41)","57.32 (53.25, 61.80)","55.09 (50.87, 59.46)","56.87 (52.04, 61.86)","35.50 (21.13, 52.51)"
"Wapello County, Iowa",19179,"43.95 (41.15, 46.70)","43.90 (41.38, 46.52)","45.16 (42.77, 47.70)","47.47 (45.03, 50.02)","51.64 (48.84, 54.55)","51.92 (49.11, 54.94)","47.54 (44.87, 50.26)","49.11 (45.72, 52.34)","11.73 (1.80, 23.00)"
"Warren County, Iowa",19181,"32.48 (29.99, 35.00)","33.76 (31.57, 36.05)","36.01 (33.91, 38.30)","39.83 (37.49, 42.31)","44.65 (42.15, 47.31)","45.00 (42.32, 47.84)","44.88 (42.10, 47.90)","44.98 (42.06, 48.19)","38.49 (25.29, 53.54)"
"Washington County, Iowa",19183,"34.09 (31.50, 36.84)","35.41 (32.97, 37.82)","37.46 (35.17, 39.79)","41.55 (39.28, 43.77)","45.88 (43.23, 48.47)","48.90 (45.98, 51.93)","48.76 (45.52, 52.03)","47.89 (44.73, 51.67)","40.48 (26.82, 55.89)"
"Wayne County, Iowa",19185,"36.54 (33.55, 39.64)","38.55 (35.91, 41.45)","41.39 (38.52, 44.36)","45.45 (42.50, 48.85)","50.39 (47.08, 54.04)","52.74 (49.17, 56.70)","50.78 (46.69, 55.10)","51.67 (47.03, 56.39)","41.40 (25.16, 60.59)"
"Webster County, Iowa",19187,"27.29 (25.31, 29.31)","29.51 (27.55, 31.41)","32.44 (30.53, 34.41)","36.96 (35.09, 39.04)","43.65 (41.36, 45.98)","47.27 (44.59, 49.87)","46.04 (43.48, 48.77)","48.65 (45.66, 51.68)","78.27 (61.96, 97.72)"
"Winnebago County, Iowa",19189,"25.68 (23.65, 27.80)","28.17 (25.99, 30.32)","31.60 (29.59, 33.79)","37.76 (35.42, 40.28)","44.72 (41.92, 47.61)","50.40 (47.09, 53.78)","50.48 (46.89, 54.39)","54.62 (50.33, 59.20)","112.67 (89.35, 138.12)"
"Winneshiek County, Iowa",19191,"33.02 (30.52, 35.65)","34.70 (32.43, 37.15)","35.68 (33.52, 37.94)","38.99 (36.84, 41.29)","42.73 (40.35, 45.31)","43.82 (41.08, 46.55)","41.51 (38.67, 44.45)","42.76 (39.68, 45.93)","29.48 (16.69, 44.21)"
"Woodbury County, Iowa",19193,"34.36 (32.28, 36.37)","37.15 (35.36, 39.11)","42.81 (40.82, 44.99)","48.42 (46.23, 50.75)","56.39 (53.81, 58.92)","62.02 (59.07, 65.02)","65.09 (61.97, 68.41)","69.68 (66.22, 73.15)","102.78 (88.20, 119.43)"
"Worth County, Iowa",19195,"24.69 (22.59, 26.90)","26.90 (24.81, 29.05)","29.59 (27.38, 31.89)","34.36 (31.78, 37.03)","38.77 (35.78, 41.92)","41.43 (38.17, 45.08)","41.95 (38.26, 45.95)","43.57 (39.58, 47.92)","76.47 (55.50, 100.70)"
"Wright County, Iowa",19197,"30.12 (27.95, 32.67)","31.85 (29.72, 34.19)","33.96 (31.80, 36.31)","39.06 (36.67, 41.67)","44.90 (42.12, 47.79)","48.14 (45.12, 51.27)","48.10 (45.00, 51.32)","49.97 (46.25, 53.63)","65.91 (49.18, 84.74)"
Kansas,20,"40.59 (39.39, 41.90)","42.45 (41.43, 43.58)","44.53 (43.47, 45.62)","50.50 (49.28, 51.77)","56.05 (54.74, 57.38)","58.22 (56.71, 59.84)","55.36 (53.91, 56.77)","56.28 (54.58, 57.89)","38.63 (33.20, 43.71)"
"Allen County, Kansas",20001,"50.40 (46.83, 54.45)","52.99 (49.58, 56.57)","58.08 (54.95, 61.34)","64.64 (61.05, 68.27)","71.57 (67.81, 75.68)","76.07 (71.51, 80.67)","74.80 (70.38, 79.67)","76.95 (71.50, 82.45)","52.70 (36.16, 69.33)"
"Anderson County, Kansas",20003,"42.62 (39.08, 46.24)","44.62 (41.38, 48.02)","46.64 (43.62, 49.96)","51.43 (48.05, 54.92)","55.45 (51.87, 59.25)","54.52 (50.72, 58.60)","52.45 (48.52, 56.52)","52.57 (48.13, 57.21)","23.35 (9.19, 39.29)"
"Atchison County, Kansas",20005,"46.72 (43.46, 50.14)","49.86 (46.66, 53.17)","53.91 (50.67, 57.14)","61.17 (57.78, 64.66)","70.23 (66.41, 74.36)","74.65 (70.56, 78.86)","72.35 (68.00, 76.86)","75.38 (70.60, 80.49)","61.35 (45.64, 78.09)"
"Barber County, Kansas",20007,"50.03 (45.96, 54.35)","50.89 (47.21, 54.56)","53.20 (49.45, 56.94)","57.90 (53.70, 61.78)","63.05 (58.62, 67.12)","65.84 (61.03, 70.70)","63.41 (58.15, 68.59)","62.85 (57.30, 68.42)","25.62 (11.41, 41.53)"
"Barton County, Kansas",20009,"37.19 (34.38, 39.93)","38.76 (36.28, 41.34)","42.49 (40.14, 44.88)","48.64 (46.05, 51.49)","55.57 (52.81, 58.48)","58.67 (55.54, 61.93)","58.07 (54.89, 61.52)","60.57 (56.64, 64.47)","62.89 (47.51, 80.48)"
"Bourbon County, Kansas",20011,"37.31 (34.42, 40.46)","39.56 (36.94, 42.32)","43.69 (41.08, 46.35)","51.95 (49.06, 55.23)","61.72 (58.06, 65.28)","67.77 (63.54, 71.97)","66.38 (62.07, 70.56)","72.28 (67.62, 76.97)","93.71 (73.97, 115.78)"
"Brown County, Kansas",20013,"38.47 (35.41, 41.89)","41.35 (38.58, 44.27)","44.64 (41.81, 47.49)","49.91 (46.87, 53.13)","56.24 (53.09, 59.66)","60.54 (56.89, 64.57)","58.55 (54.51, 62.86)","59.60 (55.56, 64.54)","54.93 (37.95, 74.32)"
"Butler County, Kansas",20015,"37.93 (35.41, 40.34)","39.51 (37.17, 41.82)","42.26 (40.06, 44.55)","47.27 (44.88, 49.90)","53.47 (50.97, 56.23)","54.70 (51.92, 57.46)","53.58 (50.64, 56.52)","54.25 (51.25, 57.56)","43.04 (30.74, 56.22)"
"Chase County, Kansas",20017,"36.55 (32.90, 40.56)","38.14 (34.46, 41.84)","40.42 (37.01, 43.90)","43.84 (40.19, 47.83)","47.94 (43.68, 52.60)","50.22 (45.41, 55.46)","47.11 (41.99, 52.57)","47.45 (41.80, 53.22)","29.83 (11.66, 49.81)"
"Chautauqua County, Kansas",20019,"39.87 (36.40, 43.59)","42.90 (39.60, 46.34)","45.60 (42.55, 48.87)","51.60 (48.18, 55.29)","57.43 (53.34, 61.55)","61.84 (57.16, 66.70)","61.19 (56.21, 66.48)","62.47 (57.05, 68.69)","56.69 (37.94, 79.46)"
"Cherokee County, Kansas",20021,"42.99 (39.57, 46.48)","44.86 (41.97, 47.94)","49.47 (46.28, 52.58)","56.33 (53.26, 59.79)","63.81 (60.19, 67.47)","70.93 (66.90, 75.25)","68.58 (64.70, 72.99)","69.99 (65.46, 74.72)","62.80 (47.51, 80.17)"
"Cheyenne County, Kansas",20023,"32.83 (29.55, 36.45)","34.06 (30.89, 37.44)","36.07 (32.90, 39.49)","39.72 (36.65, 43.29)","44.00 (40.49, 48.22)","47.10 (42.86, 51.64)","46.28 (41.74, 51.42)","46.42 (41.43, 52.50)","41.38 (21.81, 63.96)"
"Clark County, Kansas",20025,"38.57 (34.52, 42.91)","39.25 (35.92, 42.98)","40.48 (36.99, 44.14)","45.52 (41.76, 49.67)","51.92 (47.28, 56.80)","49.97 (45.33, 54.98)","49.92 (44.55, 55.39)","50.03 (44.35, 55.95)","29.71 (11.50, 50.94)"
"Clay County, Kansas",20027,"33.99 (31.33, 36.99)","36.21 (33.68, 38.91)","39.06 (36.51, 41.85)","44.02 (41.31, 46.94)","48.73 (45.54, 51.91)","52.09 (48.45, 55.80)","48.69 (45.00, 52.32)","51.05 (47.05, 55.35)","50.18 (33.66, 69.42)"
"Cloud County, Kansas",20029,"31.57 (29.07, 34.34)","35.14 (32.77, 37.69)","39.64 (37.03, 42.32)","47.09 (44.38, 49.99)","54.86 (51.47, 58.21)","60.78 (56.87, 64.84)","61.91 (57.58, 66.26)","66.30 (61.41, 71.43)","110.00 (86.65, 134.14)"
"Coffey County, Kansas",20031,"41.62 (38.52, 45.10)","43.66 (40.51, 47.01)","46.81 (43.73, 49.95)","52.21 (48.89, 55.74)","58.95 (54.96, 62.94)","60.94 (56.82, 65.32)","57.51 (53.35, 62.04)","58.81 (54.04, 63.96)","41.30 (26.47, 58.80)"
"Comanche County, Kansas",20033,"43.26 (38.96, 47.76)","45.33 (41.29, 49.64)","48.09 (43.83, 52.48)","53.68 (49.51, 58.17)","60.29 (55.24, 65.65)","64.00 (58.29, 70.44)","61.74 (55.36, 68.30)","61.91 (55.12, 69.42)","43.13 (23.20, 65.24)"
"Cowley County, Kansas",20035,"46.52 (43.30, 49.62)","49.69 (47.09, 52.67)","52.99 (50.06, 55.88)","63.14 (59.98, 66.49)","72.83 (69.26, 76.45)","75.94 (72.20, 80.04)","77.19 (73.43, 81.12)","79.86 (75.28, 85.03)","71.67 (57.01, 87.85)"
"Crawford County, Kansas",20037,"36.94 (34.40, 39.58)","39.14 (36.71, 41.69)","43.16 (40.89, 45.63)","49.63 (47.00, 52.36)","56.38 (53.57, 59.39)","62.05 (58.51, 65.27)","61.29 (57.37, 64.86)","62.90 (59.04, 66.75)","70.27 (54.62, 88.27)"
"Decatur County, Kansas",20039,"43.53 (39.56, 47.46)","46.88 (43.44, 50.53)","52.12 (48.40, 55.84)","58.97 (54.92, 63.19)","66.96 (62.27, 71.69)","71.83 (66.41, 77.45)","69.93 (64.52, 76.01)","73.91 (67.37, 81.02)","69.78 (48.13, 93.29)"
"Dickinson County, Kansas",20041,"32.38 (30.02, 34.98)","33.77 (31.49, 36.09)","35.88 (33.77, 38.15)","39.77 (37.40, 42.20)","44.67 (42.00, 47.34)","45.99 (43.21, 48.88)","43.73 (40.70, 46.73)","45.99 (42.46, 49.53)","42.04 (27.62, 57.67)"
"Doniphan County, Kansas",20043,"43.06 (39.34, 47.00)","43.45 (40.40, 46.83)","44.58 (41.46, 47.75)","50.27 (46.84, 53.72)","55.71 (51.73, 59.53)","57.17 (53.11, 61.45)","54.04 (50.12, 58.54)","55.59 (50.93, 60.95)","29.09 (13.83, 46.75)"
"Douglas County, Kansas",20045,"37.62 (35.34, 40.22)","39.91 (37.70, 42.40)","40.16 (38.05, 42.29)","44.84 (42.53, 47.25)","49.05 (46.48, 51.55)","50.34 (47.70, 52.92)","48.68 (46.20, 51.43)","50.53 (47.56, 53.43)","34.32 (22.61, 47.09)"
"Edwards County, Kansas",20047,"43.63 (39.56, 47.60)","45.77 (42.15, 49.55)","48.97 (45.27, 52.67)","55.96 (51.73, 60.14)","63.79 (58.97, 68.69)","71.95 (65.85, 77.82)","72.04 (65.68, 78.59)","72.85 (66.15, 80.26)","66.98 (46.38, 89.89)"
"Elk County, Kansas",20049,"40.12 (36.46, 43.67)","41.37 (37.88, 45.04)","43.65 (40.09, 47.18)","49.37 (45.44, 53.40)","55.01 (50.79, 59.29)","57.48 (52.80, 62.46)","52.98 (48.30, 57.76)","52.80 (47.37, 58.22)","31.60 (15.61, 49.06)"
"Ellis County, Kansas",20051,"34.26 (31.72, 36.98)","36.47 (34.17, 39.12)","38.30 (36.05, 40.74)","43.57 (40.94, 46.11)","49.22 (46.66, 52.08)","52.50 (49.56, 55.68)","50.82 (47.87, 53.99)","51.60 (47.88, 55.29)","50.59 (35.45, 67.28)"
"Ellsworth County, Kansas",20053,"42.99 (39.56, 46.93)","47.03 (43.64, 50.76)","51.90 (48.49, 55.54)","60.33 (56.25, 64.47)","70.56 (65.84, 75.24)","74.97 (69.85, 80.12)","76.52 (70.81, 82.46)","78.98 (72.22, 85.56)","83.71 (62.11, 107.27)"
"Finney County, Kansas",20055,"36.99 (34.17, 39.82)","39.32 (36.73, 41.99)","43.53 (40.79, 46.20)","50.94 (48.00, 53.66)","59.50 (56.16, 63.11)","60.75 (57.35, 64.30)","59.79 (56.12, 63.73)","61.13 (57.15, 65.37)","65.27 (48.81, 82.17)"
"Ford County, Kansas",20057,"38.27 (35.34, 41.34)","40.47 (37.66, 43.37)","43.28 (40.64, 45.87)","49.51 (46.85, 52.45)","57.88 (54.67, 61.31)","61.19 (57.95, 64.93)","60.80 (57.37, 64.82)","60.31 (56.47, 64.25)","57.60 (42.39, 74.68)"
"Franklin County, Kansas",20059,"40.48 (37.72, 43.35)","43.30 (40.58, 46.14)","46.80 (44.30, 49.41)","54.02 (50.97, 57.05)","62.16 (58.88, 65.50)","65.24 (61.71, 68.71)","64.08 (60.22, 68.03)","66.90 (62.37, 71.66)","65.27 (50.12, 81.82)"
"Geary County, Kansas",20061,"49.77 (46.04, 53.64)","53.05 (49.61, 56.62)","58.54 (55.04, 62.09)","65.51 (61.83, 69.17)","73.11 (69.12, 77.06)","74.88 (70.74, 79.17)","69.80 (64.91, 74.26)","73.07 (67.67, 78.32)","46.83 (31.40, 64.41)"
"Gove County, Kansas",20063,"39.02 (35.37, 42.99)","39.92 (36.59, 43.70)","41.35 (38.06, 44.72)","47.30 (43.63, 51.24)","53.73 (49.48, 57.91)","53.86 (49.08, 58.72)","50.84 (46.24, 55.69)","51.70 (46.36, 57.16)","32.49 (16.37, 52.77)"
"Graham County, Kansas",20065,"39.63 (35.90, 43.95)","40.91 (37.41, 45.08)","43.05 (39.57, 46.79)","49.87 (45.77, 54.06)","57.39 (52.37, 62.63)","54.62 (49.87, 59.50)","52.06 (47.10, 56.89)","52.97 (47.52, 58.86)","33.65 (16.44, 53.97)"
"Grant County, Kansas",20067,"43.54 (39.28, 47.94)","45.90 (41.66, 50.14)","48.33 (44.33, 52.26)","54.76 (50.34, 59.22)","62.82 (58.06, 67.58)","65.47 (60.36, 70.64)","62.13 (56.75, 67.70)","64.99 (58.89, 71.38)","49.26 (31.24, 69.13)"
"Gray County, Kansas",20069,"36.88 (33.23, 40.69)","37.28 (33.93, 40.74)","39.07 (35.84, 42.35)","44.05 (40.36, 47.84)","50.60 (46.32, 55.07)","51.51 (47.09, 56.10)","48.53 (44.10, 53.09)","48.06 (42.99, 53.28)","30.32 (14.32, 50.38)"
"Greeley County, Kansas",20071,"47.97 (42.72, 53.80)","51.79 (46.57, 57.31)","55.68 (50.52, 60.99)","63.76 (58.07, 70.24)","70.92 (64.53, 78.17)","75.52 (68.11, 84.31)","71.99 (64.40, 80.20)","76.97 (68.17, 87.50)","60.47 (37.31, 87.33)"
"Greenwood County, Kansas",20073,"36.66 (33.79, 39.62)","38.32 (35.68, 41.37)","40.85 (38.19, 43.85)","46.18 (43.09, 49.35)","51.85 (48.39, 55.53)","54.52 (50.72, 58.36)","52.21 (48.36, 56.25)","54.19 (49.73, 58.76)","47.79 (30.72, 67.06)"
"Hamilton County, Kansas",20075,"42.85 (38.94, 47.27)","45.27 (41.14, 49.38)","47.74 (43.73, 51.98)","55.04 (50.31, 59.55)","66.27 (60.69, 72.06)","69.92 (63.19, 77.13)","68.81 (61.86, 75.90)","66.19 (58.71, 74.06)","54.48 (34.15, 78.19)"
"Harper County, Kansas",20077,"42.60 (39.01, 46.21)","45.76 (42.53, 49.26)","50.55 (47.09, 53.84)","59.47 (55.76, 63.21)","68.52 (64.09, 73.00)","73.75 (68.92, 78.83)","74.94 (69.42, 80.17)","75.26 (68.98, 81.73)","76.67 (56.53, 98.84)"
"Harvey County, Kansas",20079,"30.10 (28.05, 32.27)","33.42 (31.40, 35.51)","36.21 (34.19, 38.48)","40.96 (38.79, 43.09)","47.81 (45.26, 50.47)","49.74 (47.07, 52.58)","50.59 (47.44, 53.74)","52.80 (49.30, 56.51)","75.41 (58.92, 92.00)"
"Haskell County, Kansas",20081,"42.80 (38.45, 47.42)","44.32 (40.22, 48.83)","47.47 (43.55, 51.94)","56.25 (51.71, 61.01)","64.21 (59.02, 70.06)","68.61 (62.56, 75.00)","64.42 (58.08, 71.17)","67.02 (60.02, 74.25)","56.57 (35.08, 78.55)"
"Hodgeman County, Kansas",20083,"37.18 (32.96, 41.55)","38.22 (34.43, 42.12)","39.50 (35.53, 43.78)","44.32 (40.29, 48.60)","50.03 (45.00, 55.07)","49.64 (44.61, 54.72)","47.06 (41.76, 52.46)","46.01 (40.28, 51.92)","23.76 (6.02, 43.23)"
"Jackson County, Kansas",20085,"39.20 (35.86, 42.95)","40.67 (37.56, 44.05)","41.96 (39.09, 44.99)","46.65 (43.62, 49.83)","51.57 (48.17, 55.08)","52.20 (48.45, 55.85)","49.81 (45.98, 53.38)","50.42 (46.13, 54.76)","28.63 (13.90, 44.59)"
"Jefferson County, Kansas",20087,"42.79 (39.48, 46.35)","42.95 (39.64, 45.90)","43.42 (40.51, 46.36)","46.50 (43.39, 49.50)","49.77 (46.58, 53.09)","48.41 (45.21, 51.82)","44.86 (41.73, 48.44)","45.03 (41.65, 48.87)","5.25 (-6.30, 17.47)"
"Jewell County, Kansas",20089,"38.59 (35.32, 42.01)","40.49 (37.47, 43.65)","42.91 (39.75, 46.13)","49.07 (45.68, 52.40)","55.64 (51.18, 59.83)","58.68 (54.00, 63.57)","55.35 (50.47, 60.44)","56.71 (51.24, 62.39)","46.96 (30.56, 67.22)"
"Johnson County, Kansas",20091,"33.64 (31.81, 35.57)","34.99 (33.28, 36.80)","33.22 (31.66, 34.79)","37.31 (35.76, 39.08)","38.40 (36.79, 40.08)","39.94 (38.22, 41.83)","37.17 (35.53, 38.87)","37.42 (35.71, 39.26)","11.24 (3.59, 19.25)"
"Kearny County, Kansas",20093,"44.27 (39.90, 48.95)","48.05 (43.61, 52.49)","52.69 (48.48, 56.82)","60.19 (55.56, 65.14)","68.80 (63.25, 74.61)","77.29 (71.15, 84.12)","76.63 (69.51, 83.84)","78.15 (70.54, 85.90)","76.53 (55.34, 101.34)"
"Kingman County, Kansas",20095,"47.91 (44.32, 51.61)","51.16 (47.59, 54.63)","55.48 (51.95, 59.07)","63.11 (59.58, 67.04)","70.91 (66.87, 75.63)","76.07 (71.61, 81.28)","74.36 (69.54, 79.73)","76.99 (71.30, 83.18)","60.68 (42.73, 79.54)"
"Kiowa County, Kansas",20097,"38.55 (35.14, 42.31)","39.81 (36.50, 43.29)","41.55 (38.27, 44.96)","46.21 (42.18, 50.12)","51.85 (47.38, 56.40)","51.87 (47.04, 57.23)","51.01 (45.59, 56.99)","54.07 (47.87, 60.75)","40.26 (20.41, 62.30)"
"Labette County, Kansas",20099,"41.16 (38.37, 44.23)","44.97 (42.25, 47.65)","47.00 (44.49, 49.92)","54.83 (52.08, 57.43)","63.27 (60.12, 66.70)","68.05 (64.40, 71.94)","65.06 (61.34, 69.29)","69.32 (64.92, 73.83)","68.41 (53.39, 85.31)"
"Lane County, Kansas",20101,"35.61 (31.52, 40.10)","37.05 (32.96, 41.30)","39.10 (35.37, 43.14)","44.06 (39.92, 48.46)","49.06 (44.03, 54.24)","50.31 (44.72, 55.93)","49.60 (43.76, 55.70)","48.43 (42.07, 55.40)","36.01 (13.84, 60.04)"
"Leavenworth County, Kansas",20103,"58.57 (55.03, 62.05)","57.36 (54.20, 60.64)","59.27 (56.14, 62.51)","61.91 (58.83, 65.16)","66.09 (62.96, 69.59)","66.55 (63.26, 69.94)","61.14 (57.70, 64.33)","59.17 (55.71, 62.55)","1.02 (-7.15, 9.95)"
"Lincoln County, Kansas",20105,"35.52 (32.08, 39.47)","37.36 (34.13, 40.88)","39.57 (36.23, 43.01)","44.74 (41.38, 48.27)","50.47 (46.49, 54.64)","53.86 (49.51, 58.45)","52.20 (47.63, 57.10)","52.88 (47.90, 59.08)","48.88 (29.82, 70.94)"
"Linn County, Kansas",20107,"39.55 (36.08, 43.25)","41.61 (38.31, 45.04)","44.34 (41.21, 47.66)","49.29 (45.97, 53.02)","53.50 (49.54, 57.40)","54.45 (50.55, 58.65)","52.33 (48.07, 56.69)","53.46 (48.92, 58.43)","35.17 (20.71, 52.44)"
"Logan County, Kansas",20109,"43.94 (39.80, 48.11)","45.15 (41.27, 49.23)","47.11 (43.09, 51.18)","51.49 (47.10, 55.73)","58.40 (53.71, 62.93)","60.60 (54.97, 65.96)","58.72 (53.34, 64.52)","62.32 (55.99, 68.88)","41.83 (22.89, 63.52)"
"Lyon County, Kansas",20111,"35.26 (32.76, 37.95)","37.44 (35.09, 39.85)","39.02 (36.79, 41.37)","44.08 (41.65, 46.49)","51.50 (48.84, 54.34)","54.65 (51.59, 57.98)","51.60 (48.65, 54.82)","51.88 (48.48, 55.52)","47.13 (32.63, 63.71)"
"Marion County, Kansas",20115,"36.13 (33.39, 38.92)","37.91 (35.33, 40.38)","40.61 (38.23, 42.95)","46.82 (44.27, 49.68)","52.97 (49.49, 56.22)","55.66 (52.06, 59.00)","52.34 (48.82, 56.05)","55.41 (51.12, 59.49)","53.38 (37.45, 70.94)"
"Marshall County, Kansas",20117,"34.76 (31.82, 37.62)","34.99 (32.34, 37.60)","36.14 (33.81, 38.55)","40.36 (37.65, 43.03)","43.74 (40.70, 46.67)","44.26 (41.23, 47.29)","41.84 (38.69, 45.15)","41.00 (37.66, 44.64)","17.95 (4.32, 33.90)"
"McPherson County, Kansas",20113,"29.94 (27.64, 32.31)","31.33 (29.29, 33.36)","33.98 (31.92, 36.17)","38.61 (36.32, 41.08)","43.71 (41.19, 46.39)","46.26 (43.62, 49.31)","45.93 (43.07, 49.05)","49.10 (45.81, 52.49)","63.97 (49.34, 80.50)"
"Meade County, Kansas",20119,"44.77 (40.33, 49.14)","47.29 (43.38, 51.46)","50.96 (47.31, 54.78)","57.66 (53.51, 61.87)","67.07 (62.38, 72.32)","69.11 (63.82, 74.48)","66.42 (60.94, 72.56)","67.65 (61.30, 74.29)","51.09 (31.26, 74.04)"
"Miami County, Kansas",20121,"43.38 (40.13, 46.72)","44.19 (41.38, 47.34)","45.17 (42.39, 47.97)","49.75 (46.78, 52.87)","54.18 (51.04, 57.47)","53.43 (50.36, 56.79)","49.29 (46.05, 52.88)","48.72 (45.30, 52.47)","12.31 (2.09, 24.94)"
